t,x(t)
908,-10.190065829829416
909,-10.020726582457048
910,-9.831490739286508
911,-9.625397446423143
912,-9.405677369668112
913,-9.175659593355386
914,-8.93868306787908
915,-8.698016399410557
916,-8.456788825641286
917,-8.217934123101143
918,-7.984147854524226
919,-7.757859682051981
920,-7.541215833770748
921,-7.336073896896292
922,-7.144008066534117
923,-6.9663216752852986
924,-6.804064793199411
925,-6.658055185455589
926,-6.528904630114404
927,-6.4170433987869915
928,-6.322745970086801
929,-6.246155513169827
930,-6.187306663221678
931,-6.146146066871167
932,-6.122550485428266
933,-6.116341050616584
934,-6.127297375973998
935,-6.155164187936601
936,-6.19965885688609
937,-6.260474446862334
938,-6.337279549548436
939,-6.429714706927818
940,-6.537387400964424
941,-6.659864512527332
942,-6.796660464839752
943,-6.947222389148853
944,-7.110916566134482
945,-7.287012387253552
946,-7.474659235339415
947,-7.6728664416957635
948,-7.880486919984598
949,-8.09619744388425
950,-8.318472616200454
951,-8.545574456494444
952,-8.775545399119231
953,-9.006199370045529
954,-9.235118688011749
955,-9.459675602732542
956,-9.677056240127204
957,-9.884290737870918
958,-10.078307395063552
959,-10.255996394635286
960,-10.414286529310647
961,-10.550231897642593
962,-10.661105546585574
963,-10.744495903868081
964,-10.798401732357954
965,-10.8213223912722
966,-10.812321193816153
967,-10.771084217835613
968,-10.697946125703748
969,-10.593891792986032
970,-10.460530553230532
971,-10.300044945287418
972,-10.115117355641893
973,-9.908837470148
974,-9.684602517371475
975,-9.44600660024397
976,-9.196734580938765
977,-8.940461103298187
978,-8.680760994741856
979,-8.421032802610021
980,-8.164437695075097
981,-7.913856192500048
982,-7.671859660535392
983,-7.440694747718162
984,-7.222282735296179
985,-7.018229184694021
986,-6.8298406143317525
987,-6.658145804468249
988,-6.503926249033855
989,-6.367743168346606
990,-6.249968063463136
991,-6.150812127354599
992,-6.070354122170476
993,-6.008566052431652
994,-5.9653360892856835
995,-5.940488612150918
996,-5.933799910944571
997,-5.9450128485306415
998,-5.973845844019364
999,-6.019999248704617
1000,-6.083158763640992
1001,-6.162995509892649
1002,-6.259163069761339
1003,-6.371291074172459
1004,-6.498975461427645
1005,-6.641766920593462
1006,-6.799156963857748
1007,-6.970559835360511
1008,-7.155290911518543
1009,-7.352546813225436
1010,-7.561383689677155
1011,-7.780691829868084
1012,-8.009167469782927
1013,-8.245293802561783
1014,-8.487322469385898
1015,-8.733255368412301
1016,-8.980828424011332
1017,-9.227515468544501
1018,-9.47053961897756
1019,-9.706887936399342
1020,-9.93334865109313
1021,-10.14656247082365
1022,-10.343091839758921
1023,-10.51950391422618
1024,-10.67246644261993
1025,-10.798854264503811
1026,-10.895865444952404
1027,-10.961136575014296
1028,-10.992833506999249
1029,-10.98975470729215
1030,-10.951391082826197
1031,-10.877967349141153
1032,-10.77045005017125
1033,-10.630522884940172
1034,-10.460531292925966
1035,-10.263398424897769
1036,-10.042521995083138
1037,-9.801655257688623
1038,-9.544781057741178
1039,-9.275986308039348
1040,-8.999345404771178
1041,-8.718815408597939
1042,-8.438147525184034
1043,-8.160818761343254
1044,-7.889982520583544
1045,-7.628434838165841
1046,-7.378603044220138
1047,-7.142544382214224
1048,-6.921958106208366
1049,-6.718208889181305
1050,-6.532353081901848
1051,-6.3651720556812235
1052,-6.217206927407735
1053,-6.0887936141611725
1054,-5.980096968933775
1055,-5.891143127008444
1056,-5.821848238485989
1057,-5.772045595071444
1058,-5.741507898053189
1059,-5.72996625609146
1060,-5.737125336677501
1061,-5.762674807343277
1062,-5.806297126683072
1063,-5.867671737498015
1064,-5.946475853754914
1065,-6.042381737212979
1066,-6.155050361021583
1067,-6.284123109617608
1068,-6.429209212896576
1069,-6.589868382989023
1070,-6.765594388906442
1071,-6.9557957563743456
1072,-7.159766193051463
